
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Sat Dec 5 1992,Box Score,Orlando Magic,104,Golden State Warriors,119,,
Sat Dec 5 1992,Box Score,Charlotte Hornets,109,Los Angeles Clippers,119,,
Sat Dec 5 1992,Box Score,New Jersey Nets,111,Miami Heat,104,,
Sat Dec 5 1992,Box Score,Milwaukee Bucks,98,New York Knicks,111,,
Sat Dec 5 1992,Box Score,Minnesota Timberwolves,87,Seattle SuperSonics,124,,
Sat Dec 5 1992,Box Score,Denver Nuggets,89,Utah Jazz,119,,
Sat Dec 5 1992,Box Score,Indiana Pacers,111,Washington Bullets,109,,
Sun Dec 6 1992,Box Score,Minnesota Timberwolves,85,Los Angeles Lakers,107,,
Sun Dec 6 1992,Box Score,Phoenix Suns,122,Milwaukee Bucks,112,,
Tue Dec 8 1992,Box Score,Chicago Bulls,114,Atlanta Hawks,123,,
Tue Dec 8 1992,Box Score,Los Angeles Clippers,115,Cleveland Cavaliers,106,,
Tue Dec 8 1992,Box Score,Miami Heat,126,Dallas Mavericks,112,,
Tue Dec 8 1992,Box Score,Indiana Pacers,125,Golden State Warriors,115,,
Tue Dec 8 1992,Box Score,Minnesota Timberwolves,94,Houston Rockets,102,,
Tue Dec 8 1992,Box Score,Phoenix Suns,105,New Jersey Nets,100,,
Tue Dec 8 1992,Box Score,Seattle SuperSonics,88,New York Knicks,100,,
Tue Dec 8 1992,Box Score,Boston Celtics,117,Orlando Magic,102,,
Tue Dec 8 1992,Box Score,Milwaukee Bucks,97,Portland Trail Blazers,126,,
Tue Dec 8 1992,Box Score,Washington Bullets,114,Sacramento Kings,106,,
Tue Dec 8 1992,Box Score,Utah Jazz,103,San Antonio Spurs,121,,
Wed Dec 9 1992,Box Score,Denver Nuggets,119,Boston Celtics,129,,
Wed Dec 9 1992,Box Score,Phoenix Suns,110,Charlotte Hornets,101,,
Wed Dec 9 1992,Box Score,Cleveland Cavaliers,91,Chicago Bulls,108,,
Wed Dec 9 1992,Box Score,Orlando Magic,103,Detroit Pistons,108,,
Wed Dec 9 1992,Box Score,Portland Trail Blazers,111,Los Angeles Lakers,124,,
Wed Dec 9 1992,Box Score,Seattle SuperSonics,104,Philadelphia 76ers,115,,
Thu Dec 10 1992,Box Score,Minnesota Timberwolves,111,Dallas Mavericks,88,,
Thu Dec 10 1992,Box Score,Milwaukee Bucks,102,Golden State Warriors,114,,
Thu Dec 10 1992,Box Score,Los Angeles Clippers,105,New Jersey Nets,111,,
Thu Dec 10 1992,Box Score,Charlotte Hornets,110,New York Knicks,103,OT,
Thu Dec 10 1992,Box Score,Indiana Pacers,106,Sacramento Kings,99,,
Thu Dec 10 1992,Box Score,Miami Heat,91,San Antonio Spurs,101,,
Thu Dec 10 1992,Box Score,Washington Bullets,96,Utah Jazz,112,,
Fri Dec 11 1992,Box Score,Denver Nuggets,107,Atlanta Hawks,112,OT,
Fri Dec 11 1992,Box Score,Seattle SuperSonics,100,Boston Celtics,90,,
Fri Dec 11 1992,Box Score,Houston Rockets,110,Chicago Bulls,96,,
Fri Dec 11 1992,Box Score,Cleveland Cavaliers,103,Detroit Pistons,107,,
Fri Dec 11 1992,Box Score,Washington Bullets,93,Los Angeles Lakers,118,,
Fri Dec 11 1992,Box Score,Phoenix Suns,108,Orlando Magic,107,,
Fri Dec 11 1992,Box Score,Los Angeles Clippers,125,Philadelphia 76ers,110,,
Fri Dec 11 1992,Box Score,Indiana Pacers,134,Portland Trail Blazers,124,2OT,
Sat Dec 12 1992,Box Score,Philadelphia 76ers,103,Atlanta Hawks,96,,
Sat Dec 12 1992,Box Score,Denver Nuggets,100,Charlotte Hornets,109,,
Sat Dec 12 1992,Box Score,New Jersey Nets,89,Chicago Bulls,95,,
Sat Dec 12 1992,Box Score,Seattle SuperSonics,93,Cleveland Cavaliers,97,,
Sat Dec 12 1992,Box Score,San Antonio Spurs,113,Dallas Mavericks,91,,
Sat Dec 12 1992,Box Score,Phoenix Suns,122,Miami Heat,118,,
Sat Dec 12 1992,Box Score,Houston Rockets,104,Minnesota Timberwolves,87,,
Sat Dec 12 1992,Box Score,Detroit Pistons,88,New York Knicks,95,,
Sat Dec 12 1992,Box Score,Golden State Warriors,124,Sacramento Kings,120,,
Sat Dec 12 1992,Box Score,Milwaukee Bucks,82,Utah Jazz,108,,
Sun Dec 13 1992,Box Score,Indiana Pacers,101,Los Angeles Clippers,112,,
Sun Dec 13 1992,Box Score,Milwaukee Bucks,96,Los Angeles Lakers,114,,
Sun Dec 13 1992,Box Score,Washington Bullets,98,Portland Trail Blazers,117,,
Mon Dec 14 1992,Box Score,Denver Nuggets,89,New York Knicks,106,,
Tue Dec 15 1992,Box Score,Detroit Pistons,107,Atlanta Hawks,94,,
Tue Dec 15 1992,Box Score,Charlotte Hornets,110,Chicago Bulls,125,,
Tue Dec 15 1992,Box Score,Houston Rockets,97,Cleveland Cavaliers,124,,
Tue Dec 15 1992,Box Score,Los Angeles Clippers,90,Golden State Warriors,109,,
Tue Dec 15 1992,Box Score,Sacramento Kings,98,Miami Heat,106,,
Tue Dec 15 1992,Box Score,Boston Celtics,124,Minnesota Timberwolves,119,2OT,
Tue Dec 15 1992,Box Score,New York Knicks,108,New Jersey Nets,94,,
Tue Dec 15 1992,Box Score,Philadelphia 76ers,107,Orlando Magic,119,,
Tue Dec 15 1992,Box Score,Washington Bullets,110,Phoenix Suns,125,,
Tue Dec 15 1992,Box Score,Los Angeles Lakers,107,San Antonio Spurs,101,,
Tue Dec 15 1992,Box Score,Milwaukee Bucks,100,Seattle SuperSonics,108,,
Wed Dec 16 1992,Box Score,Utah Jazz,93,Charlotte Hornets,91,,
Wed Dec 16 1992,Box Score,Los Angeles Lakers,95,Dallas Mavericks,102,,
Wed Dec 16 1992,Box Score,Portland Trail Blazers,100,Denver Nuggets,99,,
Wed Dec 16 1992,Box Score,Atlanta Hawks,88,Detroit Pistons,89,,
Wed Dec 16 1992,Box Score,Boston Celtics,91,Indiana Pacers,114,,
Wed Dec 16 1992,Box Score,Golden State Warriors,116,Los Angeles Clippers,114,OT,
Wed Dec 16 1992,Box Score,Cleveland Cavaliers,115,Philadelphia 76ers,97,,
Thu Dec 17 1992,Box Score,San Antonio Spurs,109,Houston Rockets,121,,
Thu Dec 17 1992,Box Score,New Jersey Nets,102,Milwaukee Bucks,101,,
Thu Dec 17 1992,Box Score,Sacramento Kings,91,Orlando Magic,112,,
Thu Dec 17 1992,Box Score,Chicago Bulls,107,Washington Bullets,99,,
Fri Dec 18 1992,Box Score,New York Knicks,113,Boston Celtics,87,,
Fri Dec 18 1992,Box Score,Sacramento Kings,108,Cleveland Cavaliers,119,,
Fri Dec 18 1992,Box Score,Indiana Pacers,106,Detroit Pistons,122,,
Fri Dec 18 1992,Box Score,Minnesota Timberwolves,95,Los Angeles Clippers,103,,
Fri Dec 18 1992,Box Score,Phoenix Suns,116,Los Angeles Lakers,100,,
