
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Sat Mar 6 1948,Box Score,Boston Celtics,68,Baltimore Bullets,81,,
Sat Mar 6 1948,Box Score,Washington Capitols,64,New York Knicks,69,OT,
Sun Mar 7 1948,Box Score,Providence Steam Rollers,81,Chicago Stags,89,,
Tue Mar 9 1948,Box Score,Chicago Stags,93,Philadelphia Warriors,79,,
Tue Mar 9 1948,Box Score,St. Louis Bombers,75,Providence Steam Rollers,69,,
Wed Mar 10 1948,Box Score,St. Louis Bombers,82,New York Knicks,73,,
Wed Mar 10 1948,Box Score,Chicago Stags,71,Washington Capitols,54,,
Thu Mar 11 1948,Box Score,Chicago Stags,83,Baltimore Bullets,86,,
Thu Mar 11 1948,Box Score,St. Louis Bombers,74,Philadelphia Warriors,92,,
Sat Mar 13 1948,Box Score,Philadelphia Warriors,62,Baltimore Bullets,64,,
Sat Mar 13 1948,Box Score,New York Knicks,51,Chicago Stags,58,,
Sat Mar 13 1948,Box Score,Boston Celtics,86,Providence Steam Rollers,64,,
Sat Mar 13 1948,Box Score,St. Louis Bombers,69,Washington Capitols,86,,
Tue Mar 16 1948,Box Score,Washington Capitols,76,Boston Celtics,62,,
Tue Mar 16 1948,Box Score,Philadelphia Warriors,100,Providence Steam Rollers,78,,
Wed Mar 17 1948,Box Score,Providence Steam Rollers,67,Washington Capitols,82,,
Thu Mar 18 1948,Box Score,Washington Capitols,71,Baltimore Bullets,64,,
Thu Mar 18 1948,Box Score,Boston Celtics,77,Chicago Stags,72,,
Thu Mar 18 1948,Box Score,Providence Steam Rollers,57,Philadelphia Warriors,88,,
Thu Mar 18 1948,Box Score,New York Knicks,91,St. Louis Bombers,80,,
Sat Mar 20 1948,Box Score,Providence Steam Rollers,58,Baltimore Bullets,75,,
Sat Mar 20 1948,Box Score,Chicago Stags,63,St. Louis Bombers,75,,
Sat Mar 20 1948,Box Score,New York Knicks,82,Washington Capitols,103,,
Sun Mar 21 1948,Box Score,St. Louis Bombers,82,Chicago Stags,70,,
